word_length,prev_position,new_position,p
1,1,1,1
1,1,2,0
1,1,3,0
1,2,1,1
1,2,2,0
1,2,3,0
1,3,1,0.8888888888888888
1,3,2,0
1,3,3,0.1111111111111111
1,NA,1,0.4634146341463415
1,NA,2,0.4634146341463415
1,NA,3,0.07317073170731707
2,1,1,1
2,1,2,0
2,1,3,0
2,2,1,0.9072164948453608
2,2,2,0.09278350515463918
2,2,3,0
2,3,1,0.85
2,3,2,0.15
2,3,3,0
2,NA,1,0.6910828025477707
2,NA,2,0.1910828025477707
2,NA,3,0.1178343949044586
3,1,1,0.9990783410138249
3,1,2,9.216589861751152e-4
3,1,3,0
3,2,1,0.9477124183006536
3,2,2,0.05228758169934641
3,2,3,0
3,3,1,0.7536231884057971
3,3,2,0.2463768115942029
3,3,3,0
3,NA,1,0.6207627118644068
3,NA,2,0.24364406779661016
3,NA,3,0.13559322033898305
4,1,1,0.993
4,1,2,0.005
4,1,3,0.002
4,2,1,0.7100840336134454
4,2,2,0.27310924369747897
4,2,3,0.01680672268907563
4,3,1,0.5760869565217391
4,3,2,0.32608695652173914
4,3,3,0.09782608695652174
4,NA,1,0.46875
4,NA,2,0.346875
4,NA,3,0.184375
5,1,1,0.9800285306704708
5,1,2,0.015691868758915834
5,1,3,0.0042796005706134095
5,2,1,0.6551724137931034
5,2,2,0.3333333333333333
5,2,3,0.011494252873563218
5,3,1,0.5882352941176471
5,3,2,0.23529411764705882
5,3,3,0.17647058823529413
5,NA,1,0.46408839779005523
5,NA,2,0.3812154696132597
5,NA,3,0.15469613259668508
6,1,1,0.9842657342657343
6,1,2,0.013986013986013986
6,1,3,0.0017482517482517483
6,2,1,0.5909090909090909
6,2,2,0.4015151515151515
6,2,3,0.007575757575757576
6,3,1,0.46808510638297873
6,3,2,0.44680851063829785
6,3,3,0.0851063829787234
6,NA,1,0.3925925925925926
6,NA,2,0.34814814814814815
6,NA,3,0.25925925925925924
7,1,1,0.9912280701754386
7,1,2,0.008771929824561403
7,1,3,0
7,2,1,0.5583333333333333
7,2,2,0.43333333333333335
7,2,3,0.008333333333333333
7,3,1,0.4909090909090909
7,3,2,0.2727272727272727
7,3,3,0.23636363636363636
7,NA,1,0.49193548387096775
7,NA,2,0.28225806451612906
7,NA,3,0.22580645161290322
8,1,1,0.9912087912087912
8,1,2,0.008791208791208791
8,1,3,0
8,2,1,0.5443037974683544
8,2,2,0.43037974683544306
8,2,3,0.02531645569620253
8,3,1,0.43636363636363634
8,3,2,0.18181818181818182
8,3,3,0.38181818181818183
8,NA,1,0.3684210526315789
8,NA,2,0.35526315789473684
8,NA,3,0.27631578947368424
9,1,1,0.9784688995215312
9,1,2,0.0215311004784689
9,1,3,0
9,2,1,0.43333333333333335
9,2,2,0.5666666666666667
9,2,3,0
9,3,1,0.4642857142857143
9,3,2,0.25
9,3,3,0.2857142857142857
9,NA,1,0.543859649122807
9,NA,2,0.22807017543859648
9,NA,3,0.22807017543859648
10,1,1,0.9912280701754386
10,1,2,0.008771929824561403
10,1,3,0
10,2,1,0.3235294117647059
10,2,2,0.6764705882352942
10,2,3,0
10,3,1,0.2647058823529412
10,3,2,0.23529411764705882
10,3,3,0.5
10,NA,1,0.4411764705882353
10,NA,2,0.3235294117647059
10,NA,3,0.23529411764705882
11,1,1,0.9707317073170731
11,1,2,0.02926829268292683
11,1,3,0
11,2,1,0.34523809523809523
11,2,2,0.6547619047619048
11,2,3,0
11,3,1,0.24
11,3,2,0.28
11,3,3,0.48
11,NA,1,0.37037037037037035
11,NA,2,0.37037037037037035
11,NA,3,0.25925925925925924
12,1,1,0.9736842105263158
12,1,2,0.02631578947368421
12,1,3,0
12,2,1,0.30952380952380953
12,2,2,0.6904761904761905
12,2,3,0
12,3,1,0.15
12,3,2,0.3
12,3,3,0.55
12,NA,1,0.3333333333333333
12,NA,2,0.1111111111111111
12,NA,3,0.5555555555555556
13,1,1,1
13,1,2,0
13,1,3,0
13,2,1,0.4
13,2,2,0.6
13,2,3,0
13,3,1,0
13,3,2,0.5
13,3,3,0.5
13,NA,1,1
13,NA,2,0
13,NA,3,0
